"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 19 22:55:31 EET 2023","Sun Feb 19 22:55:35 EET 2023","3397","","advanced element interactions - examples","","advanced element interactions - examples","Alerts","Alerts",""
"passed","Sun Feb 19 22:55:19 EET 2023","Sun Feb 19 22:55:20 EET 2023","1147","","advanced element interactions - examples","","advanced element interactions - examples","inputs","inputs",""
"passed","Sun Feb 19 22:55:21 EET 2023","Sun Feb 19 22:55:22 EET 2023","740","","webdriveruniversity - contact us page","","webdriveruniversity - contact us page","Invalid submission - dont submit all information","Invalid submission - dont submit all information",""
"passed","Sun Feb 19 22:55:20 EET 2023","Sun Feb 19 22:55:24 EET 2023","3514","","advanced element interactions - examples","","advanced element interactions - examples","dropdowns","dropdowns",""
"passed","Sun Feb 19 22:55:24 EET 2023","Sun Feb 19 22:55:24 EET 2023","182","","advanced element interactions - examples","","advanced element interactions - examples","state commands","state commands",""
"skipped","Sun Feb 19 22:55:19 EET 2023","Sun Feb 19 22:55:19 EET 2023","0","","Description of test suite","","Description of test suite","Individual test 2","Individual test 2",""
"passed","Sun Feb 19 22:55:42 EET 2023","Sun Feb 19 22:55:53 EET 2023","10412","","wait commands - examples","","wait commands - examples","waitUntil","waitUntil",""
"passed","Sun Feb 19 22:55:19 EET 2023","Sun Feb 19 22:55:26 EET 2023","7259","","locating elements","","locating elements","$ - locate element","$ - locate element",""
"passed","Sun Feb 19 22:55:19 EET 2023","Sun Feb 19 22:55:21 EET 2023","1792","","webdriveruniversity - contact us page","","webdriveruniversity - contact us page","Valid submission - submit all information","Valid submission - submit all information",""
"passed","Sun Feb 19 22:55:35 EET 2023","Sun Feb 19 22:55:38 EET 2023","3506","","advanced element interactions - examples","","advanced element interactions - examples","File Upload","File Upload",""
"passed","Sun Feb 19 22:55:22 EET 2023","Sun Feb 19 22:55:30 EET 2023","8292","","wait commands - examples","","wait commands - examples","pause command","pause command",""
"passed","Sun Feb 19 22:55:24 EET 2023","Sun Feb 19 22:55:29 EET 2023","4967","","advanced element interactions - examples","","advanced element interactions - examples","actions","actions",""
"passed","Sun Feb 19 22:55:31 EET 2023","Sun Feb 19 22:55:31 EET 2023","780","","advanced element interactions - examples","","advanced element interactions - examples","IFrames","IFrames",""
"passed","Sun Feb 19 22:55:30 EET 2023","Sun Feb 19 22:55:37 EET 2023","6713","","wait commands - examples","","wait commands - examples","waitForClickable","waitForClickable",""
"passed","Sun Feb 19 22:55:38 EET 2023","Sun Feb 19 22:55:42 EET 2023","3275","","advanced element interactions - examples","","advanced element interactions - examples","Js Execute","Js Execute",""
"passed","Sun Feb 19 22:55:29 EET 2023","Sun Feb 19 22:55:31 EET 2023","1594","","advanced element interactions - examples","","advanced element interactions - examples","handling windows","handling windows",""
"passed","Sun Feb 19 22:55:26 EET 2023","Sun Feb 19 22:55:27 EET 2023","350","","locating elements","","locating elements","$$ - locate elements","$$ - locate elements",""
"passed","Sun Feb 19 22:55:42 EET 2023","Sun Feb 19 22:55:42 EET 2023","115","","wait commands - examples","","wait commands - examples","waitForExist","waitForExist",""
"passed","Sun Feb 19 22:55:37 EET 2023","Sun Feb 19 22:55:42 EET 2023","5184","","wait commands - examples","","wait commands - examples","waitForDisplayed","waitForDisplayed",""
"passed","Sun Feb 19 22:55:19 EET 2023","Sun Feb 19 22:55:20 EET 2023","547","","async vs sync - webdriverio example","","async vs sync - webdriverio example","async vs sync","async vs sync",""
"skipped","Sun Feb 19 22:55:19 EET 2023","Sun Feb 19 22:55:19 EET 2023","1","","Description of test suite","","Description of test suite","Individual test 1","Individual test 1",""
